School Name,District,Location Code,Latitude,Longitude,Grades,Grade Low,Grade High,Community School?,Zip,Economic Need Index,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Collaborative Teachers %,Supportive Environment %,Effective School Leadership %,Strong Family-Community Ties %,Trust %,Average ELA Proficiency,Average Math Proficiency,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent White,Grade 3 ELA - All Students Tested,Grade 3 Math - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 Math 4s - All Students,Grade 3 ELA 4s - Limited English Proficient,Grade 3 Math 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math 4s - Economically Disadvantaged,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 ELA 4s - Black or African American,Grade 3 Math 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 Math 4s - Hispanic or Latino,Grade 3 ELA 4s - White,Grade 3 Math 4s - White,Grade 4 ELA - All Students Tested,Grade 4 Math - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 Math 4s - All Students,Grade 4 ELA 4s - Limited English Proficient,Grade 4 Math 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math 4s - Economically Disadvantaged,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 ELA 4s - Black or African American,Grade 4 Math 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 Math 4s - Hispanic or Latino,Grade 4 ELA 4s - White,Grade 4 Math 4s - White,Grade 5 ELA - All Students Tested,Grade 5 Math - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 Math 4s - All Students,Grade 5 ELA 4s - Limited English Proficient,Grade 5 Math 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math 4s - Economically Disadvantaged,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 ELA 4s - Black or African American,Grade 5 Math 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 Math 4s - Hispanic or Latino,Grade 5 ELA 4s - White,Grade 5 Math 4s - White,Grade 6 ELA - All Students Tested,Grade 6 Math - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 Math 4s - All Students,Grade 6 ELA 4s - Limited English Proficient,Grade 6 Math 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math 4s - Economically Disadvantaged,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 ELA 4s - Black or African American,Grade 6 Math 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 Math 4s - Hispanic or Latino,Grade 6 ELA 4s - White,Grade 6 Math 4s - White,Grade 7 ELA - All Students Tested,Grade 7 Math - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 Math 4s - All Students,Grade 7 ELA 4s - Limited English Proficient,Grade 7 Math 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math 4s - Economically Disadvantaged,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 ELA 4s - Black or African American,Grade 7 Math 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 Math 4s - Hispanic or Latino,Grade 7 ELA 4s - White,Grade 7 Math 4s - White,Grade 8 ELA - All Students Tested,Grade 8 Math - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 Math 4s - All Students,Grade 8 ELA 4s - Limited English Proficient,Grade 8 Math 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math 4s - Economically Disadvantaged,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 ELA 4s - Black or African American,Grade 8 Math 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 Math 4s - Hispanic or Latino,Grade 8 ELA 4s - White,Grade 8 Math 4s - White
P.S. 034 FRANKLIN D. ROOSEVELT,1,01M034,40.726147,-73.975043,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,10009,0.86,92.0,28.0,85.0,78.0,82.0,73.0,89.0,88.0,2.48,2.47,7.0,5.0,29.0,63.0,4.0,27.0,29.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,54.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,55.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,47.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.S. 140 NATHAN STRAUS,1,01M140,40.719128000000005,-73.983283,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,10002,0.8490000000000001,93.0,27.0,94.0,91.0,85.0,87.0,83.0,93.0,2.21,2.27,14.0,5.0,13.0,78.0,3.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,56.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,47.0,46.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,61.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P.S. 184M SHUANG WEN,1,01M184,40.711437,-73.985486,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,10002,0.5589999999999999,98.0,2.0,90.0,81.0,91.0,67.0,83.0,85.0,3.24,3.63,17.0,71.0,4.0,12.0,9.0,59.0,59.0,8.0,40.0,0.0,5.0,4.0,27.0,6.0,34.0,0.0,0.0,2.0,3.0,0.0,0.0,60.0,61.0,7.0,32.0,0.0,6.0,6.0,24.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,65.0,20.0,42.0,0.0,1.0,11.0,26.0,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,82.0,29.0,43.0,0.0,3.0,20.0,32.0,26.0,39.0,0.0,0.0,0.0,0.0,2.0,3.0,72.0,72.0,22.0,36.0,0.0,0.0,15.0,29.0,14.0,29.0,0.0,0.0,2.0,2.0,3.0,4.0,46.0,48.0,23.0,28.0,0.0,2.0,16.0,21.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
P.S. 188 THE ISLAND SCHOOL,1,01M188,40.71987,-73.977376,"PK,0K,01,02,03,04,05,06,07,08",PK,08,Yes,10002,0.917,91.0,37.0,100.0,100.0,99.0,99.0,92.0,99.0,2.17,2.32,16.0,2.0,30.0,64.0,4.0,40.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,38.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,51.0,2.0,14.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,54.0,54.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,50.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ORCHARD COLLEGIATE ACADEMY,1,01M292,40.713343,-73.986069,"06,07,08,09,10,11,12",06,12,Yes,10002,0.8320000000000001,84.0,58.0,72.0,77.0,77.0,72.0,76.0,87.0,1.96,1.83,14.0,12.0,26.0,57.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",1,01M301,40.729892,-73.98423100000001,"06,07,08",06,08,No,10003,0.7909999999999999,90.0,35.0,84.0,78.0,81.0,80.0,74.0,87.0,2.29,2.0,6.0,8.0,29.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,45.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,46.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,47.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,1,01M332,40.713343,-73.986069,"06,07,08",06,08,No,10002,0.7709999999999999,92.0,26.0,92.0,96.0,92.0,96.0,86.0,96.0,2.26,2.2,15.0,5.0,27.0,63.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,37.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,27.0,28.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,30.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SCHOOL FOR GLOBAL LEADERS,1,01M378,40.720185,-73.985957,"06,07,08",06,08,No,10002,0.764,92.0,27.0,79.0,87.0,82.0,77.0,76.0,88.0,2.34,2.48,8.0,15.0,22.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,4.0,16.0,0.0,0.0,2.0,10.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,69.0,69.0,2.0,8.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,73.0,74.0,7.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0
EAST SIDE COMMUNITY SCHOOL,1,01M450,40.729153000000004,-73.982474,"06,07,08,09,10,11,12",06,12,No,10009,0.61,97.0,5.0,92.0,95.0,92.0,96.0,88.0,95.0,2.82,2.9,1.0,11.0,21.0,53.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,9.0,15.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,2.0,5.0,3.0,7.0,80.0,78.0,7.0,9.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,3.0,60.0,56.0,3.0,9.0,0.0,0.0,2.0,5.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",1,01M539,40.7195,-73.979239,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,10002,0.257,97.0,3.0,81.0,73.0,85.0,55.0,81.0,74.0,3.83,4.03,0.0,33.0,9.0,11.0,42.0,110.0,109.0,55.0,91.0,0.0,0.0,5.0,9.0,22.0,33.0,2.0,0.0,1.0,5.0,26.0,39.0,114.0,114.0,81.0,94.0,0.0,0.0,8.0,9.0,33.0,36.0,3.0,2.0,8.0,10.0,32.0,40.0,109.0,109.0,76.0,90.0,0.0,0.0,10.0,8.0,26.0,30.0,4.0,4.0,0.0,0.0,43.0,51.0,142.0,142.0,89.0,127.0,0.0,0.0,8.0,12.0,30.0,39.0,7.0,8.0,6.0,8.0,41.0,65.0,112.0,105.0,74.0,74.0,0.0,0.0,8.0,9.0,21.0,21.0,3.0,2.0,4.0,3.0,42.0,44.0,120.0,0.0,65.0,0.0,0.0,0.0,13.0,0.0,31.0,0.0,2.0,0.0,0.0,0.0,27.0,0.0
